oid,delta_mag_fid_1,positive_fraction_1,delta_mag_fid_2,positive_fraction_2,Multiband_period,PPE,Period_band_1,delta_period_1,Period_band_2,delta_period_2,MHPS_ratio_1,MHPS_low_1,MHPS_high_1,MHPS_ratio_2,MHPS_low_2,MHPS_high_2,GP_DRW_sigma_1,GP_DRW_tau_1,GP_DRW_sigma_2,GP_DRW_tau_2,Psi_CS_1,Psi_eta_1,Psi_CS_2,Psi_eta_2,Harmonics_mag_1_1,Harmonics_mag_2_1,Harmonics_mag_3_1,Harmonics_mag_4_1,Harmonics_mag_5_1,Harmonics_mag_6_1,Harmonics_mag_7_1,Harmonics_phase_2_1,Harmonics_phase_3_1,Harmonics_phase_4_1,Harmonics_phase_5_1,Harmonics_phase_6_1,Harmonics_phase_7_1,Harmonics_mse_1,Harmonics_mag_1_2,Harmonics_mag_2_2,Harmonics_mag_3_2,Harmonics_mag_4_2,Harmonics_mag_5_2,Harmonics_mag_6_2,Harmonics_mag_7_2,Harmonics_phase_2_2,Harmonics_phase_3_2,Harmonics_phase_4_2,Harmonics_phase_5_2,Harmonics_phase_6_2,Harmonics_phase_7_2,Harmonics_mse_2,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_1,AndersonDarling_1,Autocor_length_1,Beyond1Std_1,Con_1,Gskew_1,Meanvariance_1,MedianAbsDev_1,MedianBRP_1,PairSlopeTrend_1,PercentAmplitude_1,Q31_1,Rcs_1,Skew_1,SmallKurtosis_1,Std_1,StetsonK_1,Pvar_1,ExcessVar_1,SF_ML_amplitude_1,SF_ML_gamma_1,IAR_phi_1,LinearTrend_1,Amplitude_2,AndersonDarling_2,Autocor_length_2,Beyond1Std_2,Con_2,Gskew_2,Meanvariance_2,MedianAbsDev_2,MedianBRP_2,PairSlopeTrend_2,PercentAmplitude_2,Q31_2,Rcs_2,Skew_2,SmallKurtosis_2,Std_2,StetsonK_2,Pvar_2,ExcessVar_2,SF_ML_amplitude_2,SF_ML_gamma_2,IAR_phi_2,LinearTrend_2,SPM_A_1,SPM_t0_1,SPM_gamma_1,SPM_beta_1,SPM_tau_rise_1,SPM_tau_fall_1,SPM_chi_1,SPM_A_2,SPM_t0_2,SPM_gamma_2,SPM_beta_2,SPM_tau_rise_2,SPM_tau_fall_2,SPM_chi_2,classALeRCE
ZTF20aavpyxo,1.8552359999999979,1.0,0.9337599999999995,1.0,131.0344747463678,0.011380389682347669,0.14651901433735204,130.88795573203046,166.66665228290813,35.632177536540325,24.306968688964844,6.244400978088379,0.25689756870269775,133.65931701660156,2.1298413276672363,0.01593485102057457,0.41785950840847835,9.027152700180118,0.07833596041712718,48.05153652111458,0.41980581008043977,0.2938771528225999,0.4096303815370383,0.2033233761832817,4744.133284451554,3762.288550893527,2486.2744573874515,1315.2795896783443,522.7759122421959,138.98037007933507,18.46723301193217,6.2698251617755485,6.23457905259006,6.176760731378275,6.101782784822532,6.0186598773764,5.939220271879904,9.639294094708244e-19,74.32895850115565,60.108140807286404,41.64638166174296,24.18578818692691,11.243735171246785,3.852972271704947,0.7829253679971249,3.131535575062089,6.260570158093145,3.102475637689368,6.21572939412231,2.993122493600607,5.991126076687779,0.0016733143728081688,0.0840122327208519,0.08774331957101822,0.19755099713802338,0.8860613107681274,0.854901909828186,0.8320766687393188,0.9276179999999989,0.920677789101564,5.0,0.3333333333333333,0.0,0.0691540000000046,0.0306417306842915,0.5742189999999994,0.26666666666666666,-0.36666666666666664,0.04902303692209955,1.11079625,0.4198058100804445,0.07132544810749833,-1.0610109882959318,0.6007346109661407,0.9062202615871776,1.0,0.0008682243181153974,4.659001315187736,0.7003252901553727,0.864457274466195,0.018330661209404634,0.46687999999999974,0.8864398039818071,7.0,0.3684210526315789,0.0,-0.20542400000000072,0.014293315221420836,0.20456099999999822,0.3157894736842105,-0.36666666666666664,0.029479639277181804,0.3908024999999995,0.40963038153703835,-0.3940546317371248,-0.5103147684821421,0.2755471040757192,0.8234840127012205,1.0,0.00014591952753703974,4.015685849935146,1.1406267266582482,0.9810520896953953,0.01011744663853746,0.1354782754704762,1.6247795339523252,25.72876271493381,0.5107864430645805,1.030321560857229,42.106348403860785,0.02614810808000424,0.21602260825767283,4.489915883386708,12.734191946575438,0.5749082795148232,5.758953425151823,99.37209031118134,0.03421846609303849,SNII
ZTF20aavqfli,2.879025000000002,1.0,1.8477950000000014,1.0,1.0131171529268486,0.028531293309736805,69.09090501956727,68.07778786664042,1.0141987201807532,0.001081567253904625,46.795738220214844,14.853285789489746,0.3174068033695221,36.17049789428711,4.685198783874512,0.12953095138072968,1.08887249404649,44.72226298443787,0.3808775044188619,19.817906447027333,0.22930316138389878,0.43425208478806765,0.3366128507466146,0.4041400341118977,45.979447258966886,26.637369851658285,30.94744142744361,36.885685208139144,38.054656137086056,40.505912516784456,25.802740369848955,0.11167670474774116,6.09117755412534,5.996442658200076,5.739441738536671,0.2890570637005645,0.9681814894465823,3.639304815146017e-24,15.116282939687473,42.64582144686264,20.40843606505313,26.821547708734087,18.139930822685255,12.020120472579663,10.348237340099818,2.4132443123066163,6.100199569776123,1.7188770780983873,5.441711137026823,1.2501278141566825,5.00293895883312,2.4379408192610273e-25,0.007988415658473969,0.04256132245063782,0.02799437940120697,0.036527685821056366,0.16571466624736786,0.005933207925409079,1.439512500000001,0.9998935100670857,6.0,0.26666666666666666,0.0,0.8752649999999988,0.05123179717070442,0.6705659999999973,0.2,-0.43333333333333335,0.0995951507221949,1.823660249999996,0.43566645515123403,0.44243973719758306,-1.1001865932443597,0.9812093822668568,0.9087074644990394,1.0,0.0025610911681490257,6.8785895233216605,0.6241384615986809,0.9753161357557901,0.03677890120381187,0.9238975000000007,0.7612232948959913,4.0,0.35714285714285715,0.0,0.14784099999999967,0.028638944218277482,0.44848350000000003,0.35714285714285715,-0.3,0.05278985767364099,0.7255959999999995,0.4181446196283658,-0.053563001149646405,-0.6753522254875461,0.5441667482446993,0.8568298533481259,1.0,0.0007808634679041597,1.599163961452889,0.26319392522047264,0.9358380197571389,0.014855867255955824,0.3567987534431814,5.141064254025735,25.817473246282105,0.7524218628771056,2.911433082785014,15.672820587931994,0.04018620640980951,0.3090894428371537,6.053577364229601,17.869107692469726,0.5158240497266723,3.3024659941077674,30.21664388171151,0.09071048217000086,SNIa
ZTF20aavrkxw,1.466307999999998,1.0,1.7103170000000034,1.0,65.97222036873944,0.06903382541630843,49.999996460974465,15.972223907764977,65.97222036873944,0.0,17.52267837524414,0.870993971824646,0.04970666766166687,62.77000427246094,1.6350153684616089,0.0260477177798748,0.3071016390099695,35.16982634259855,0.49976759555306133,87.1530817745965,0.4133588655799679,0.13813259139746287,0.4106627626065743,0.22012177452247533,6564.303582549199,5038.139898137839,3190.106860519261,1619.6451405555788,624.0447298954737,162.85602786129016,21.589392969383926,6.277748906619132,6.2611186502028655,6.226037325488987,6.161786900615306,6.056445635177557,5.899271292351287,0.00010685770551446247,1007.6550973882642,1364.725013540555,1307.02453200258,942.4397794928248,513.636827104591,188.67646744245184,33.55224264035856,0.656377728284081,1.4729135745194961,2.326364981639644,3.146155499747028,3.8620179282202507,4.447745869023391,0.0018043264590522517,0.02845665067434311,0.012413233518600464,0.16289938986301422,0.5501179099082947,0.4601701498031616,0.4426940977573395,0.733153999999999,0.9999992666636777,5.0,0.17647058823529413,0.0,0.8378680000000003,0.02384630291548223,0.2784639999999996,0.23529411764705882,-0.5666666666666667,0.05999463422315795,0.5717449999999964,0.4133588655799774,0.907966962840022,-0.12852982818474157,0.4616505795608081,0.8485430515684176,1.0,0.0005191200413598231,3.379341674479904,0.5423024160767662,0.9593640221887222,0.03080392035589963,0.8551585000000017,0.9999995726690586,5.0,0.21052631578947367,0.0,1.0599970000000027,0.021259452596178872,0.13869199999999537,0.5263157894736842,-0.3,0.07203158463589136,0.5674152500000034,0.41066276260657697,1.187115479869882,1.6112086644114045,0.4132471832599034,0.8487111054337751,1.0,0.0003999522542520515,5.8365217663045215,0.7631282618406139,0.9702582337620259,0.021742745128831127,0.11706037255246139,1.3893486688548873,12.786008322110861,0.17899132603394002,3.4855837549395163,14.59350469816135,0.022355135703630423,0.13868523011478825,5.26957648469942,13.527361509443574,0.479884840543066,4.686145151014196,25.320927177459932,0.048413420953761103,SNIa
ZTF20aavrloz,3.518411999999998,1.0,3.0365160000000024,1.0,83.70043505069616,0.045675363041489,76.92307533597103,6.777359714725122,90.90908370481107,7.20864865411491,81.28092956542969,15.966327667236328,0.1964338719844818,127.54569244384766,16.54584503173828,0.12972484529018402,2.2712699303344404,157.05760573072592,1.621168224547526,112.19809962889154,0.4456171279572018,0.01729485446111826,0.4511747679987272,0.024119638851396757,1.1176768457436954,0.40362454114300894,0.7201037064819437,0.5915321633568568,0.36843571126992036,0.3448828485819062,0.1649078363918702,3.559962999178908,5.885030108517283,0.6143994898561829,2.1576704134642535,3.266864436895492,3.7104744267530663,0.0020357954178166827,1.2454453338138096,0.4340388741931444,0.2836955466198724,0.15115481538679104,0.11351155187172986,0.08374548818998893,0.0415992684678828,1.7380512046918577,3.434249779999632,5.16128819396627,6.162554508633212,0.9359475335582168,2.2928104313446536,0.010134446478677457,0.02871568314731121,0.13475891947746277,0.16182513535022736,0.3888116776943207,0.3088507652282715,0.2859296500682831,1.7477464999999999,1.0,18.0,0.3125,0.0,1.6614184999999964,0.06348509453090431,0.8327540000000013,0.10416666666666667,-0.36666666666666664,0.14049842487073563,2.0669625000000025,0.4456171279572018,0.4822884766394853,-1.1940976665445457,1.194907106370936,0.9120019548460118,1.0,0.003927800592944419,8.487699967695786,0.613060924016749,0.9900327873517356,0.046730669120118785,1.447376499999999,1.0,22.0,0.3770491803278688,0.0,0.872223500000004,0.055095536247493304,0.9661240000000006,0.14754098360655737,-0.43333333333333335,0.10674006982804182,2.129486,0.4511747679987272,0.27307499778991573,-1.4786549921689816,1.0367789614329805,0.9296225372657595,1.0,0.002959704958366311,4.813789450129841,0.471260383714005,0.9834467667723691,0.03261637040032021,0.5059311136681114,6.0765299790961915,22.139303959562252,0.8303652380725534,2.76920416122725,19.79159731839242,0.10260458657143318,0.436227816199354,6.788023908069217,15.735938279418733,0.4691008450457937,2.8118276815850605,20.894860507386483,0.15021989170071393,SNIa
ZTF20aavrukn,2.6250600000000013,1.0,2.1622420000000027,1.0,80.85106371443646,0.04647430756777171,76.92307533597103,3.927988378465429,80.85106371443646,0.0,112.54640197753906,6.2604289054870605,0.0556253120303154,277.8331604003906,8.439623832702637,0.03037658892571926,1.2623647654232462,74.85171569074764,0.5965730817506307,32.71359359494568,0.44567360775941367,0.16102245462501888,0.42093895183540087,0.27850460503867325,44.17187764167458,37.580812863597274,27.745164691846302,16.619612526335143,7.624933055353179,2.505893145480326,0.5319587766884155,0.012790428367540296,6.252320859700709,6.198599738237364,6.170051198576874,6.2107594711559635,0.014276423459657961,0.00019623151160757445,0.48695076695397715,0.22327877280582611,0.9955017999781627,0.29438382617313386,0.7508091300967435,0.17248694390985264,0.3228743768516321,5.15816282348062,3.3087899679196475,5.621584035589256,1.4727777957956576,4.70308612841718,6.0466725727486,2.2358571942264107e-28,0.010515736415982246,0.024259287863969803,0.07947574555873871,0.589414119720459,0.5178775191307068,0.4951220154762268,1.3125300000000006,0.9999999772926943,6.0,0.3125,0.0,1.9215950000000035,0.04168247135548768,0.34433199999999964,0.375,-0.36666666666666664,0.12032852948676269,1.2850117499999953,0.44567360775941367,0.7752040303108062,-0.45698980907137887,0.8070002105815797,0.8322406899563902,1.0,0.0016499262186696721,3.9356278576963555,0.46417750753601167,0.9741115298149878,0.03576561861262176,1.0811210000000013,0.9911080517624317,4.0,0.2857142857142857,0.0,0.6389240000000029,0.035121479578733045,0.5977440000000005,0.21428571428571427,-0.36666666666666664,0.07240169190219693,1.195488000000001,0.42093895183540087,0.46255562879061896,-0.7435608817182877,0.6811975232472619,0.9045540768524426,1.0,0.001171758564940353,1.0777053279434903,0.13280085953191922,0.9560844310760629,0.014503136159910668,0.20226480580361336,7.582600497386837,25.648049096297314,0.7247090369874549,3.836124703923822,14.80496379744212,0.025227037844601265,0.18302709720775764,8.850830774008381,17.69144856010619,0.392838069395152,3.860087921993382,30.35208549045084,0.03966448386408723,SNIa
ZTF20aavrzha,3.9163260000000015,1.0,4.075495,1.0,180.9523777744803,0.1712896129196404,180.9523777744803,0.0,199.99998584389786,19.04760806941755,178.39454650878906,32.167266845703125,0.180315300822258,257.649169921875,19.431093215942383,0.07541686296463013,1.5903139650865223,155.49069026192703,2.6784057798492795,1001.0679937398356,0.44185951536396756,0.04142039056648667,0.4437065854187694,0.051693354277822456,2.9924375082943686,2.9177477631794115,2.164745937065463,1.4420976910426555,0.9490943250282469,0.463006633239973,0.13731991971179514,0.8148268547938313,1.5741302401246093,2.1255666065631758,2.5036928120248234,2.7955124259214283,2.928481410930438,0.005481467520638189,13.23086680540839,11.814048197040947,9.289857788327357,6.360801709793947,3.570756939717796,1.6180861720505635,0.4753630235609491,0.18450944804586467,0.2484756179041394,0.24077130663527413,0.16961787537423056,0.03214814559751922,0.006166286499414753,0.0017193399340118072,0.015925085172057152,0.0220912154763937,0.10613076388835907,0.7549362778663635,0.6715319752693176,0.623543918132782,1.8555299999999981,1.0,31.0,0.5647058823529412,0.0,-1.8101079999999996,0.06585833240998373,0.4687039999999989,0.4235294117647059,-0.36666666666666664,0.14806744232378008,1.9673939999999988,0.4418595153639675,-0.6848007763314742,-1.0330512586617528,1.2000318580627167,0.9359848336769223,1.0,0.004304890363683996,6.241221455745284,0.6361363825580824,0.9902248643496964,0.029636639747864808,1.7582825000000009,0.9999999999999998,38.0,0.3764705882352941,0.0,-0.23483700000000596,0.06456991590070141,1.044549,0.18823529411764706,-0.36666666666666664,0.12111003592903719,1.9592379999999991,0.4437065854187677,-0.07700829275738216,-1.288179291717099,1.138864541324969,0.9164790701371947,1.0,0.004153439082228364,10.124023516050976,0.9119580496557537,0.997907567092161,0.03411943756514801,2.2361965010711047,-13.260159407496054,64.14337317679473,0.8424467747993695,36.644153223684626,31.85268404949646,60.06640292025793,2.9096138514323377,-23.14132849770822,63.71289231031947,0.772537642978509,29.9138448172221,30.010567115190327,13.610568831215211,SNIa
ZTF20aavtdxj,2.6674950000000024,1.0,1.9389339999999997,1.0,78.51239137878754,0.055135234848864734,71.42856922380786,7.083822154979686,90.90908370481107,12.396692326023526,143.55490112304688,11.261711120605469,0.0784488096833229,198.1097869873047,9.706077575683594,0.04899342730641365,1.1868648408961568,91.1155078331675,0.5154612505151253,69.61784121003785,0.44038204928996544,0.07145250184241933,0.43451686101848136,0.08609059105319314,2.8099745916672494,2.792003096701566,3.2828706661105684,3.5155581325821985,2.557869201569372,1.193438543622408,0.27510796196542947,2.7740458534368155,6.00450422342436,2.5872976639958765,5.264443774098044,1.5895302115555108,4.134031469674786,8.791551380647707e-27,2.0098815353440727,2.0464540021702677,2.0881456146508888,1.9253083206070654,1.2631768193163695,0.7678547578504984,0.4900871445457334,2.323128044657217,4.845120136594845,1.0844804759972106,3.3903510146205775,6.2155960379672415,1.8110240021067767,1.0908819375056278e-27,0.003587201703339815,0.00844703521579504,0.024091297760605812,0.2226387858390808,0.18050208687782288,0.16863253712654114,1.3337475000000012,0.9999710687495195,6.0,0.3076923076923077,0.0,1.223588999999997,0.04716253539027851,0.6357560000000007,0.15384615384615385,-0.3,0.10114930792075304,1.4268570000000018,0.44038204928996544,0.6675854541842654,-0.729321329064359,0.9187792871617002,0.8851334211393684,1.0,0.002155659541847838,12.77054524317528,0.8443164440604173,0.9850688919785936,0.050158157187519474,0.9694669999999999,0.9990720819088221,6.0,0.35714285714285715,0.0,0.5198079999999976,0.0329800591057235,0.5751365000000028,0.21428571428571427,-0.36666666666666664,0.06363449973971544,1.1747339999999973,0.43451686101848136,0.38376864017343426,-1.095035080751217,0.6390718632853906,0.902303781283828,1.0,0.0010216293064960055,7.1835546922447975,0.8065065918978206,0.9820484644206593,0.028403601924154104,0.19819971339233283,2.0532833519307157,27.831116812521497,0.8130636335451512,3.3079918537987107,21.281912474221873,0.013031609176352316,0.1846323141909733,2.911641726695761,26.265246994906125,0.6017176642959707,4.289049721520857,26.00789841027981,0.027517182075888783,SNIa
ZTF20aavvaup,1.2208599999999983,1.0,1.150857999999996,1.0,70.63196895340353,0.016982941578161936,47.61904403736288,23.012924916040646,0.9881422105452623,69.64382674285827,36.94178771972656,1.4526855945587158,0.03932364284992218,19.193613052368164,1.062063455581665,0.05533421039581299,0.20895097065451926,36.25118943472976,0.29743205941473966,44.12259230597342,0.4435860240024651,0.11174084445245401,0.3930732108533554,0.1864998198505777,20.13601260392348,4.099124820953603,18.12187941008375,25.753095913436873,20.72429275186694,10.228983159575344,2.5008003372529855,4.0828534336356395,2.4280804832962617,5.460537641469763,2.1096485526638693,4.981883191608096,1.5033770303707614,1.9826831920475815e-24,195899.12888366653,183342.43692316988,159582.14023134278,121500.3303446131,73633.17495703699,32680.671181379457,7564.383876088095,0.010766918678075221,0.020163250253400378,6.2674496762836895,6.179714625285703,6.001726659317438,5.629123951745736,2.4597398979987296e-17,0.01783289946615696,0.02971012331545353,0.20413200557231903,0.6374033689498901,0.5915542244911194,0.5767018795013428,0.6104299999999991,0.9994189280452296,5.0,0.23076923076923078,0.0,0.5144260000000003,0.021407853183961482,0.319704999999999,0.23076923076923078,-0.36666666666666664,0.04716748192709523,0.5474519999999998,0.4435860240024651,0.5590829450495344,-0.8293574353180984,0.396221299272166,0.8587472107449489,1.0,0.0004294669106278348,1.8142917275329835,0.3923845268116591,0.965211942963058,0.02323726839007754,0.575428999999998,0.9999352397972623,4.0,0.13333333333333333,0.0,0.5173899999999989,0.019532184261331256,0.22328900000000118,0.3333333333333333,-0.43333333333333335,0.04608197881295439,0.5130592500000013,0.3930732108533554,0.9330892242370663,0.2796018229719648,0.3553373675523955,0.760712323377012,1.0,0.000365894830986084,0.8409175214147484,0.14950334717720146,0.9493208532571414,0.004424415346757975,0.25197110804406236,1.000144000275536,11.99376797016542,0.07861953430544774,4.686143710744933,20.744413888276142,0.033994642290582695,0.3692744941841589,5.475686743808795,30.000075575679105,0.43854667345692694,4.852997490057329,35.1690324517423,0.05363682601170741,SNII
ZTF20aavvzlw,1.6446359999999984,1.0,0.9803460000000008,1.0,3.1498674179539754,0.02300971272283303,52.631575480062445,49.48170806210847,999.999952502551,996.850085084597,10.086180686950684,1.207411766052246,0.11970950663089752,154.71017456054688,1.4961326122283936,0.009670550934970379,0.33761054215034036,15.15582798177292,0.15681459437865966,33.05446671558825,0.39730750363214445,0.8703147833926466,0.2663862216896608,1.252696846374275,7.263117682473763,2.0786499615459406,3.09077462516162,1.367363282302295,1.9365642343066438,1.2450570747995333,1.8520041271251613,3.710620122437929,3.505982443221101,0.507763042476223,0.4357387177507236,4.405939117846874,5.620808829900996,8.294308946323781e-29,6.32146030186308,2.3983744332095966,4.356757278638273,2.492566153007448,3.6232601357928793,1.538129050592382,0.5861321577309181,2.0509506854920168,2.1473224086114007,0.8505014003463691,6.136122204315859,6.103432032120152,2.187976442615546,6.310887241768095e-30,0.005953631363809109,0.00496668042615056,0.0479918047785759,0.011127656325697899,0.010574386455118656,0.0007471374701708555,0.8223179999999992,0.9829385321699406,3.0,0.14285714285714285,0.0,0.783610000000003,0.028715544790962992,0.3687769999999979,0.14285714285714285,-0.16666666666666666,0.06473880458737277,0.793740500000002,0.4070624040465528,0.8847079655938371,0.6107931477885868,0.5423877795507187,0.8517739281229856,1.0,0.0007596662069586975,1.7892962198954472,0.34978543669499035,0.9330257104237064,0.039979377895035986,0.4901730000000004,0.8702503454862205,3.0,0.3333333333333333,0.0,0.07346699999999373,0.01937275894374877,0.3837785,0.0,-0.03333333333333333,0.028022524215398036,0.767557,0.4465752524304716,0.09158814969919667,-1.1866371766778268,0.36472315124244903,0.884029066405798,1.0,0.000333414699962811,15.0,1.0845755662988423,0.968305873393987,0.03624377596867688,0.21472807187003057,0.4058840026843127,16.826283542253353,0.4366744210126843,1.9385983374865505,10.997409743148097,0.0013188477131820381,0.3142260849830237,-16.619470051789104,23.08901352927689,0.5560075537683306,8.050263904846767,28.360083114369264,9.342240715016365e-12,SNIa
ZTF20aavynba,1.637204999999998,1.0,0.6731660000000019,1.0,61.48866899081766,0.03912911228453686,0.7794231590273155,60.70924583179034,0.0644329838309819,61.424236006986675,5.57520055770874,0.5681878328323364,0.1019134372472763,1.031288504600525,0.030121026560664177,0.029207179322838783,0.21450609209986538,7.89491139264441,0.06350698697881867,5.708519709267752,0.4156321648600778,0.3389550316459314,0.41451260953598945,0.5901725866014071,5.722714308327745,4.9080211419571595,2.9834088777918746,1.659700621363925,2.424140780322626,1.079932035861446,1.9327331217688262,3.1243279589877497,3.2876214512779454,5.121305251250956,3.980090419146155,4.130213024526698,5.659094050027287,1.0223637331664313e-27,31.74473091030627,53.50104867745578,65.52266920871045,16.882144660478755,47.17320512225025,80.68728564135601,69.4950464347521,1.5935642885225283,1.083756201963599,6.01960128770826,2.6996899552919373,1.5071585499563334,4.01915453606189,4.726869847985864e-23,0.08131372928619385,0.03900884464383125,0.4793718457221985,0.9940876960754395,0.9917654991149902,0.9917194843292236,0.818602499999999,0.9291146320547709,3.0,0.2,0.0,0.700018,0.025387793192013786,0.3938834999999976,0.3,-0.36666666666666664,0.05972454153394433,0.8001629999999977,0.4156321648600778,0.6927420814850781,0.1476045976149254,0.49965415951364733,0.8936854906076537,1.0,0.000564741343876527,0.7130000843516218,0.010817420033325174,0.8614078230614182,0.005338371213559107,0.33658300000000096,0.9999993058768157,2.0,0.25,0.0,0.513582999999997,0.012176466775043434,0.0706400000000027,0.5,-0.3,0.03088807902378437,0.22684600000000188,0.41451260953598945,1.0928063876987144,0.36426073405632664,0.23537801747265946,0.821404524103632,0.9999903184662143,0.00010408784801802148,1.6080328868813651,0.39816689204122213,0.844555742358723,0.011267417642448173,0.11445479863995259,5.2768443532429234,29.064192433021418,0.7624478844457812,3.5988413471050746,12.9121145557507,0.06694302900497848,0.08664988315346299,-1.094488005462495,14.17880108791231,0.11650716606743507,3.128515162598798,16.641209621511944,0.008657980863078413,SNIa
